Year,Month,Day,Hour,Minute,Second,FocalDepth,EQRichterMag,EQMomentMag,ModMercalli,Country,State,LocationName,Lat,Lon,DeathCount,Tsunami
-2150,,,,,    ,,7,,,JORDAN,,"JORDAN:  BAB-A-DARAA,AL-KARAK",31.10,35.50,,No
-2000,,,,,,18,7,,10,TURKMENISTAN,,TURKMENISTAN:  W,38.00,58.20,1.00,No
-2000,,,,,,,,,10,SYRIA,,SYRIA:  UGARIT,35.68,35.80,,Yes
-1610,,,,,,,,,,GREECE,,GREECE:  THERA ISLAND (SANTORINI),36.40,25.40,,Yes
-1566,,,,,    ,,,,10,ISRAEL,,ISRAEL:  ARIHA (JERICHO),31.50,35.30,,No
-1450,,,,,,,,,10,ITALY,,ITALY:  LACUS CIMINI,35.50,25.50,,No
-1365,,,,,,,,,,SYRIA,,SYRIAN COASTS,35.68,35.80,,Yes
-1250,,,,,    ,,7,,,ISRAEL,,ISRAEL:  ARIHA (JERICHO),32.00,35.50,,No
-1050,,,,,    ,,6,,,JORDAN,,JORDAN:  SW:  TIMNA COPPER MINES,29.60,35.00,,No
-759,,,,,    ,,,,11,ISRAEL,,ISRAEL:  JERUSALEM,33.00,35.50,,No
-590,,,,,,,,,,LEBANON,,LEBANON:  SUR (TYRE),33.27,35.22,,Yes
-550,,,,,,,,,10,GREECE,,GREECE:  MOUNT TAYGETUS,37.00,22.50,,No
-525,,,,,,,,,,LEBANON,,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.56,35.37,,Yes
-480,9,29,,,,,,,,GREECE,,GREECE:  SARONIC GULF,37.90,23.50,,Yes
-479,,,,,,,7,,9,GREECE,,GREECE:  MACEDONIA,39.70,23.30,,Yes
-432,,,,,,,,,,GREECE,,GREECE:  ROMAN TERRITORIES,37.00,22.50,,No
-426,6,,,,,,7,,10,GREECE,,GREECE:  EUBOEA,38.90,22.70,2500.00,Yes
-400,,,,,,,8,,,IRAN,,"IRAN:  REY,EIVAN-E-KAY",35.50,51.80,,No
-373,,,,,,,7,,11,GREECE,,GREECE,38.25,22.25,,Yes
-364,,,,,,100,,,,ITALY,,ITALY:  ROME,35.00,25.00,,No
-330,,,,,,,7,,11,GREECE,,GREECE:  AEGEAN SEA,40.00,25.00,,Yes
-326,11,,,,,,,,,INDIA,,INDIA:  KUTCH,23.00,71.00,,Yes
-282,,,,,,,,,10,TURKEY,,TURKEY:  LYSIMACHIA,41.00,27.00,,No
-282,,,,,,,,,,GREECE,,GREECE:  DELPHI,38.50,22.50,,No
-250,,,,,,20,7,,9,KYRGYZSTAN,,KYRGYZSTAN:  CHIGUCHIN,42.70,77.50,,No
-227,,,,,,100,7,,10,GREECE,,GREECE:  DODECANESE ISLANDS,36.30,28.30,,Yes
-223,10,,,,,,,,,GREECE,,GREECE,,,,Yes
-221,,,,,,,,,7,EGYPT,,EGYPT:  SIWA OASIS; LIBYA,29.20,25.50,,No
-218,,,,,,,,,,SPAIN,,SPAIN:  CADIZ,36.20,-7.17,,Yes
-217,,,,,,,,,,ITALY,,"ITALY:  LIGURIA (LIGURIE), GAULE",44.30,8.50,,No
-210,,,,,,,,,,PORTUGAL,,PORTUGAL:  CABO SAN VICENTE,36.00,-10.50,,Yes
-198,,,,,,,,,,GREECE,,EAST MEDITERRANEAN SEA,36.40,25.40,,Yes
-193,2,,,,,,7,,,CHINA,,CHINA:  GANSU PROVINCE:  LINTAO,35.40,103.90,,No
-186,2,22,,,,,7,,,CHINA,,CHINA:  GANSU PROVINCE,33.80,105.60,760.00,No
-177,,,,,,100,,,,ITALY,,ITALY:  SABINES,,,,No
-70,6,1,,,,,7,,9,CHINA,,CHINA:  SHANDONG PROVINCE,36.30,119.00,6000.00,No
-63,10,,,,,20,6,,8,RUSSIA,,RUSSIA:  PANTIKAPEY,45.20,36.60,,No
-60,,,,,,,7,,9,PORTUGAL,,PORTUGAL:  CABO SAN VICENTE,36.00,-10.00,,Yes
-58,,,,,,,7,,,ALBANIA,,ALBANIA:  DYRRACHIUM,41.30,19.50,,Yes
-50,,,,,,,6,,8,GEORGIA,,GEORGIA:  DYOSCURIA [SUKHUMI],43.00,41.00,,Yes
-50,,,,,,,,,,BULGARIA,,"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",43.50,28.50,,Yes
-47,4,17,,,,,,,9,CHINA,,CHINA:  GANSU PROVINCE:  LONGXI,34.90,104.70,,No
-33,,,,,,,,,9,ISRAEL,,ISRAEL:  PALESTINE,31.20,34.20,30000.00,No
-31,9,2,,,    ,,7,,,ISRAEL,,"ISRAEL:  QUMRAN,ARIHA (JERICHO)",32.00,35.50,,No
-27,,,,,,,,,,EGYPT,,EGYPT:  THEBES,25.70,32.70,,No
-26,,,,,,,6,,7,CHINA,,CHINA:  SICHUAN:  YIBIN,28.80,104.60,13.00,No
-26,,,,,,,,,9,CYPRUS,,CYPRUS,35.00,33.00,,Yes
-15,,,,,    ,,,,,CYPRUS,,CYPRUS:  SALAMIS,35.20,34.00,,No
10,,,,,    ,18,7,,10,TURKMENISTAN,,TURKMENISTAN:  NISA,38.00,58.30,,No
11,,,,,    ,,,,10,TURKEY,,TURKEY,37.80,27.40,,No
17,,,,,,,,,10,TURKEY,,"TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART",37.85,27.30,,No
23,,,,,    ,,,,10,GREECE,,GREECE,38.20,22.20,,No
25,,,,,    ,,,,,PAKISTAN,,PAKISTAN,33.00,72.00,,No
27,,,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KWANGJU,35.90,126.50,,No
29,,,,,    ,,,,10,TURKEY,,"TURKEY:  IZNIK,IZMIT",40.50,28.90,,No
33,,,,,,,,,,ISRAEL,,ISRAEL:  PALESTINE,31.80,35.20,,No
37,4,9,,,,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
46,10,23,,,,,7,,8,CHINA,,CHINA:  HENAN PROVINCE:  NANYANG,33.00,112.50,,No
50,,,,,,,,,,AFGHANISTAN,,AFGHANISTAN:  AIKHANUM,37.00,68.50,,No
52,,,,,    ,,,,,GREECE,,"GREECE:  PHILIPPI,DRAMA,KAVALA",41.00,24.30,,No
52,,,,,    ,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
55,,,,,    ,,,,10,GREECE,,GREECE:  CRETE,35.00,25.00,,No
57,,,,,    ,,,,10,ALBANIA,,ALBANIA:  DURRES,41.20,19.30,,No
60,,,,,,,,,9,TURKEY,,"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]",37.90,29.20,,No
62,,,,,,,7,,9,GREECE,,GREECE:  CRETE,35.20,25.10,,Yes
63,,,,,,,,,10,ITALY,,ITALY:  POMPEI,40.70,14.50,,No
76,,,,,,,,,10,CYPRUS,,"CYPRUS:  PAPHOS, SALAMIS",34.80,32.00,,Yes
79,8,24,,,,,,,10,ITALY,,ITALY:  NAPLES (NAPOLI),40.82,14.43,3500.00,No
89,,,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KWANGJU,35.90,126.50,,No
