Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
-2000,,,,,,SYRIA,,SYRIAN COASTS,35.68,35.80,50.00,,,6.00,,
-1610,,,,,,GREECE,,THERA ISLAND (SANTORINI),36.40,25.40,50.00,90.00,,6.00,,
-1365,,,,,,SYRIA,,SYRIAN COASTS,35.68,35.80,50.00,,,6.00,,
-1300,,,,,,TURKEY,,"IONIAN COASTS, TROAD",39.96,26.24,50.00,,,5.00,,
-760,,,,,,ISRAEL,,ISRAEL AND LEBANON COASTS,,,50.00,,,3.00,,
-590,,,,,,LEBANON,,LEBANON COASTS,33.27,35.22,50.00,,,6.00,,
-525,,,,,,LEBANON,,LEBANON COASTS,33.56,35.37,50.00,,,3.00,,
-480,9,29,,,,GREECE,,SARONIC GULF,37.90,23.50,50.00,,,,,
-479,,,,,,GREECE,,NORTH AEGEAN,39.70,23.30,50.00,,,3.00,,
-426,6,,,,,GREECE,,CORINTHOS-PATRAS GULF,38.90,22.70,50.00,,,5.00,,2500.00
-373,,,,,,GREECE,,CORINTHOS-PATRAS GULF,38.25,22.25,50.00,,,5.00,,
-330,,,,,,GREECE,,"E. SPORADES ISLANDS, AEGEAN ISLANDS",40.00,25.00,50.00,,,,,
-326,11,,,,,INDIA,,KUTCH,23.00,71.00,60.00,,,,,
-227,,,,,,GREECE,,DODECANESE ISLANDS,36.30,28.30,50.00,,,3.00,,
-226,,,,,,GREECE,,SOUTH EVIOKOS GULF,38.60,23.30,50.00,,,,,
-223,10,,,,,GREECE,,MALIAKOS GULF,38.81,22.78,50.00,,,,,
-218,,,,,,SPAIN,,CADIZ,36.20,-7.17,73.00,,,,,
-210,,,,,,PORTUGAL,,GULF OF CADIZ,36.00,-10.50,73.00,,,,,
-198,,,,,,GREECE,,THERA ISLAND (SANTORINI),36.40,25.40,50.00,,,,,
-150,,,,,,SRI LANKA,,SRI LANKA,,,60.00,,,,,
-138,,,,,,ISRAEL,,ISRAEL AND LEBANON COASTS,,,50.00,,,3.00,,
-60,,,,,,PORTUGAL,,CABO SAN VICENTE,36.00,-10.00,73.00,,,,,
-58,,,,,,ALBANIA,,ALBANIA,41.30,19.50,50.00,,,3.00,,
-50,,,,,,BULGARIA,,BLACK SEA,43.50,28.50,40.00,,,,,
-50,,,,,,GEORGIA,,BLACK SEA,43.00,41.00,40.00,,,,,
-47,9,,,,,CHINA,,"LAIZHOU BAY, BOHAI SEA",37.50,119.50,84.00,,,,,
-23,,,,,,EGYPT,,ALEXANDRIA,,,50.00,,,3.00,,
46,,,,,,GREECE,,THERA ISLAND (SANTORINI),36.40,25.40,50.00,,,3.00,,
62,,,,,,GREECE,,CRETE,35.20,25.10,50.00,,,3.00,,
76,6,20,,,,CYPRUS,,LEVANTIAN SEA,34.80,32.00,50.00,,,4.00,,
79,8,24,7,,,ITALY,,BAY OF NAPLES,40.82,14.43,50.00,,,4.00,,3500.00
115,12,13,,,,TURKEY,,ANTAKYA (ANTIOCH),36.10,36.10,50.00,,,,,
120,,,,,,TURKEY,,MARMARA SEA,40.77,29.92,50.00,,,2.00,,
123,,,,,,SOUTH KOREA,,SEA OF JAPAN,35.80,129.20,84.00,,,,,
142,,,,,,GREECE,,DODECANESE ISLANDS,36.70,28.00,50.00,,,4.00,,
173,6,28,,,,CHINA,,"LAIZHOU BAY, BOHAI SEA",37.50,120.00,84.00,,1.00,1.00,,
177,,,,,,ITALY,,ISLAND OF SICILY,38.00,15.00,50.00,,,6.00,,
