Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
-4360,,,NO,NO,Macauley Island,Kermadec Is,New Zealand,-30.20,-178.47,238,Caldera,
-4350,,,NO,NO,Kikai,Ryukyu Is,Japan,30.78,130.28,717,Caldera,
-4050,,,NO,NO,Masaya,Nicaragua,Nicaragua,11.98,-86.16,635,Caldera,
-4000,,,NO,NO,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,
-3580,,,NO,NO,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,
-3550,,,NO,NO,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,
-2420,,,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
-2040,,,NO,NO,Long Island,New Guinea-NE of,Papua New Guinea,-5.36,147.12,1280,Complex volcano,
-1900,,,NO,NO,Black Peak,Alaska Peninsula,United States,56.53,-158.80,1032,Stratovolcano,
-1890,,,NO,NO,"Hudson, Cerro",Chile-S,Chile,-45.90,-72.97,1905,Stratovolcano,
-1860,,,NO,NO,St. Helens,US-Washington,United States,46.20,-122.18,2549,Stratovolcano,
-1750,,,NO,NO,Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,
-1645,,,NO,NO,Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,
-1610,,,YES,YES,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,
-1550,,,YES,NO,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,
-1460,,,NO,NO,Taupo,New Zealand,New Zealand,-38.82,176.00,760,Caldera,
-1370,,,NO,NO,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,
-1050,,,NO,NO,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,
-1010,,,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,
-455,,,NO,NO,Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,
-250,,,NO,NO,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,
-197,,,YES,NO,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,
-150,,,NO,NO,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,
-141,,,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
-100,,,NO,NO,Okmok,Aleutian Is,United States,53.42,-168.13,1073,Shield volcano,40
-50,,,NO,NO,Apoyeque,Nicaragua,Nicaragua,12.24,-86.34,518,Pyroclastic shield,
46,,,YES,NO,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,
50,,,NO,NO,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,
60,,,NO,NO,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,
79,8,25,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
200,,,NO,NO,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,2100
230,,,NO,NO,Taupo,New Zealand,New Zealand,-38.82,176.00,760,Caldera,
240,,,NO,NO,Ksudach,Kamchatka,Russia,51.80,157.53,1079,Stratovolcano,
350,,,YES,NO,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,
416,,,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,
450,,,NO,NO,Ilopango,El Salvador,El Salvador,13.67,-89.05,450,Caldera,
500,,,NO,NO,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,30000
590,,,NO,NO,San Salvador,El Salvador,El Salvador,13.74,-89.29,1893,Stratovolcano,
640,,,NO,NO,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,
653,,,NO,NO,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.06,150.11,400,Caldera,
683,,,NO,NO,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.27,152.20,688,Pyroclastic shield,
710,,,NO,NO,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,
764,,,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,
